month;year;days;report_date;journey_type;journeys_millions
1;2010;31;06/30/2010;Underground & DLR;9.683.639.076
2;2010;28;06/30/2010;Underground & DLR;9.033.050.361
3;2010;31;06/30/2010;Underground & DLR;9.003.801.412
4;2010;30;09/30/2010;Underground & DLR;925.440.925
5;2010;31;09/30/2010;Underground & DLR;8.866.291.085
6;2010;30;09/30/2010;Underground & DLR;863.757.023
7;2010;31;12/31/2010;Underground & DLR;9.498.603.486
8;2010;31;12/31/2010;Underground & DLR;9.702.479.406
9;2010;30;12/31/2010;Underground & DLR;9.702.963.968
10;2010;31;03/31/2011;Underground & DLR;7.736.997.907
11;2010;30;03/31/2011;Underground & DLR;906.912.942
12;2010;31;03/31/2011;Underground & DLR;9.425.623.237
1;2011;31;06/30/2011;Underground & DLR;9.763.677.178
2;2011;28;06/30/2011;Underground & DLR;9.410.294.338
3;2011;31;06/30/2011;Underground & DLR;9.498.939.582
4;2011;30;09/30/2011;Underground & DLR;9.890.630.154
5;2011;31;09/30/2011;Underground & DLR;917.110.092
6;2011;30;09/30/2011;Underground & DLR;917.186.178
7;2011;31;12/31/2011;Underground & DLR;1.005.865.731
8;2011;31;12/31/2011;Underground & DLR;1.031.316.347
9;2011;30;12/31/2011;Underground & DLR;1.041.936.729
10;2011;31;03/31/2012;Underground & DLR;8.450.097.107
11;2011;30;03/31/2012;Underground & DLR;9.670.548.698
12;2011;31;03/31/2012;Underground & DLR;9.846.427.621
1;2012;31;06/30/2012;Underground & DLR;9.563.930.738
2;2012;29;06/30/2012;Underground & DLR;9.996.382.228
3;2012;31;06/30/2012;Underground & DLR;9.664.137.128
4;2012;30;09/30/2012;Underground & DLR;1.048.355.659
5;2012;31;09/30/2012;Underground & DLR;1.136.290.531
6;2012;30;09/30/2012;Underground & DLR;1.026.284.804
7;2012;31;12/31/2012;Underground & DLR;1.058.802.169
8;2012;31;12/31/2012;Underground & DLR;1.083.931.857
9;2012;30;12/31/2012;Underground & DLR;1.095.871.702
10;2012;31;03/31/2013;Underground & DLR;8.472.737.956
11;2012;30;03/31/2013;Underground & DLR;9.897.087.593
12;2012;31;03/31/2013;Underground & DLR;1.042.526.944
1;2013;31;06/30/2013;Underground & DLR;9.974.275.141
2;2013;28;06/30/2013;Underground & DLR;105.064.674
3;2013;31;06/30/2013;Underground & DLR;1.035.364.018
4;2013;30;09/30/2013;Underground & DLR;1.088.441.132
5;2013;31;09/30/2013;Underground & DLR;1.016.331.038
6;2013;30;09/30/2013;Underground & DLR;981.570.731
7;2013;31;12/31/2013;Underground & DLR;1.093.813.773
8;2013;31;12/31/2013;Underground & DLR;1.119.729.676
9;2013;30;12/31/2013;Underground & DLR;1.145.651.738
10;2013;31;03/31/2014;Underground & DLR;9.035.986.225
11;2013;30;03/31/2014;Underground & DLR;1.045.940.478
12;2013;31;03/31/2014;Underground & DLR;1.025.768.518
1;2014;31;06/30/2014;Underground & DLR;9.635.747.096
2;2014;28;06/30/2014;Underground & DLR;1.005.217.034
3;2014;31;06/30/2014;Underground & DLR;1.064.923.425
4;2014;30;09/30/2014;Underground & DLR;1.108.696.577
5;2014;31;09/30/2014;Underground & DLR;1.054.292.456
6;2014;30;09/30/2014;Underground & DLR;1.013.265.798
7;2014;31;12/31/2014;Underground & DLR;1.127.901.406
8;2014;31;12/31/2014;Underground & DLR;11.776.628
9;2014;30;12/31/2014;Underground & DLR;1.203.404.409
10;2014;31;03/31/2015;Underground & DLR;9.394.082.233
11;2014;30;03/31/2015;Underground & DLR;1.087.752.426
12;2014;31;03/31/2015;Underground & DLR;1.147.452.006
1;2015;31;06/30/2015;Underground & DLR;1.238.548.619
2;2015;28;06/30/2015;Underground & DLR;1.109.363.985
3;2015;31;06/30/2015;Underground & DLR;1.149.055.978
4;2015;30;09/30/2015;Underground & DLR;1.103.057.381
5;2015;31;09/30/2015;Underground & DLR;1.035.202.237
6;2015;30;09/30/2015;Underground & DLR;1.063.357.502
7;2015;31;12/31/2015;Underground & DLR;1.212.626.244
8;2015;31;12/31/2015;Underground & DLR;1.215.570.551
9;2015;30;12/31/2015;Underground & DLR;123.446.096
10;2015;31;03/31/2016;Underground & DLR;9.248.038.021
11;2015;30;03/31/2016;Underground & DLR;1.160.941.034
12;2015;31;03/31/2016;Underground & DLR;1.187.645.367
